dif,R,RMSE,KGE,name,,,,
21.5,0.169220799,54.64455312,-18.78278433,Budburst_cubic_SoS_threshold_NDVI13,213,180,169,562
6.5,0.228396255,55.8484773,-19.70667458,Budburst_mintomaxdoublelogistic_SoS_threshold_DVI5,187,183,170,540
-36.5,0.427748514,50.4802424,-19.84741514,Budburst_mintomaxcubic_SoS_threshold_NDPI4,113,165,171,449
-47.5,0.601172042,52.51554219,-20.12573463,Budburst_SoS_filterdoublelogisticthreshold_NDPI5,40,171,172,383
14.5,0.178278767,52.31543432,-20.75920091,Budburst_mintomaxcubic_SoS_threshold_DVI4,209,170,173,552
7.5,0.264805996,55.24844823,-20.81887973,Budburst_SoS_doublelogisticthreshold_DVI5,159,181,174,514
12.5,0.282475631,52.97017775,-20.96223674,Budburst_SoS_doublelogisticthreshold_DVI4,148,172,175,495
17.5,0.139084264,51.79975314,-20.99515401,Budburst_mintomaxcubic_SoS_threshold_DVI3,217,168,176,561
19.5,0.112056762,53.0570347,-21.11502377,Budburst_mintomaxcubic_SoS_threshold_DVI2,226,173,177,576
-36.5,0.566725033,49.80646322,-21.11566355,Budburst_mintomaxdoublelogistic_SoS_threshold_NDPI3,69,164,178,411
46.5,0.221054927,55.96034911,-21.44825378,Budburst_SoS_doublelogisticthreshold_NDGI1,189,184,179,552
21.5,0.088187812,55.55311011,-21.99418684,Budburst_mintomaxcubic_SoS_threshold_DVI13,230,182,180,592
19.5,0.028482788,58.37989033,-22.41956022,Budburst_cubic_SoS_threshold_NDGI3,236,191,181,608
22.5,0.072026492,57.36532817,-22.53916246,Budburst_mintomaxcubic_SoS_threshold_DVI1,232,186,182,600
11.5,0.168291513,58.40878944,-23.6020739,Budburst_mintomaxcubic_SoS_threshold_DVI5,214,192,183,589
-40.5,0.384552709,56.53425869,-23.74659315,Budburst_mintomaxcubic_SoS_threshold_NDPI5,122,185,184,491
18.5,0.251200254,54.31977735,-23.78793021,Budburst_SoS_doublelogisticthreshold_DVI3,176,178,185,539
-43.5,0.562626502,53.87256642,-23.94445044,Budburst_mintomaxdoublelogistic_SoS_threshold_NDPI4,71,175,186,432
