dif,R,RMSE,KGE,name,dif_mean,,
-7,0.715711363,28.89844015,0.228918392,Budburstdoublelogistic_SoS_threshold_NDVI4,-15.55193439,,
-13,0.715188882,33.32772412,-0.013669301,Budburstdoublelogistic_SoS_threshold_NDVI5,-21.878465,,
15,0.491390794,62.04637473,-3.533182515,Budburstdoublelogistic_SoS_threshold_PPI1,24.91745336,,
8,0.485689115,62.58314438,-4.020861871,Budburstdoublelogistic_SoS_threshold_PPI13,18.34602479,,
3,0.483269497,63.93408332,-4.490993533,Budburstdoublelogistic_SoS_threshold_PPI2,13.79500439,,
-6,0.512213816,58.39121146,-3.837319848,Budburstdoublelogistic_SoS_threshold_PPI3,-4.204995615,,
-12,0.506964325,60.49611174,-3.690364646,Budburstdoublelogistic_SoS_threshold_PPI4,-19.18458745,,
-19,0.476357494,63.37668468,-3.252238969,Budburstdoublelogistic_SoS_threshold_PPI5,-30.67438337,,
18,0.697520037,25.46094756,0.54381138,Budburstfilterdoublelogistic_SoS_threshold_NDGI1,10.121535,,
11,0.695161935,24.71040462,0.547393122,Budburstfilterdoublelogistic_SoS_threshold_NDGI13,3.427657446,,
5,0.696401247,25.27984316,0.441773783,Budburstfilterdoublelogistic_SoS_threshold_NDGI2,-1.55193439,,
-3,0.69461803,28.2321001,0.177148319,Budburstfilterdoublelogistic_SoS_threshold_NDGI3,-9.266220105,,
-10,0.695768048,31.76217722,-0.068238066,Budburstfilterdoublelogistic_SoS_threshold_NDGI4,-15.44989357,,
-16,0.696335211,35.6836985,-0.307965598,Budburstfilterdoublelogistic_SoS_threshold_NDGI5,-21.04173031,,
17,0.617276303,22.8274174,0.558446165,Budburstfilterdoublelogistic_SoS_threshold_EVI1,4.611330916,,
10,0.614987072,22.84439548,0.656552452,Budburstfilterdoublelogistic_SoS_threshold_EVI13,-2.388669084,,
4,0.616100001,24.14782562,0.6108563,Budburstfilterdoublelogistic_SoS_threshold_EVI2,-7.592750717,,
-4,0.614959432,28.14068065,0.413195298,Budburstfilterdoublelogistic_SoS_threshold_EVI3,-15.61315888,,
-10,0.613252005,32.53120256,0.203678719,Budburstfilterdoublelogistic_SoS_threshold_EVI4,-22.12336296,,
-16,0.616741222,36.87864538,0.00419383,Budburstfilterdoublelogistic_SoS_threshold_EVI5,-27.91928133,,
13,0.724709611,44.71411387,-2.04356637,Budburstfilterdoublelogistic_SoS_threshold_NDPI1,19.57051459,,
5,0.724281583,45.00616656,-2.446698325,Budburstfilterdoublelogistic_SoS_threshold_NDPI13,13.46847377,,
0,0.723515841,45.96970518,-2.790586182,Budburstfilterdoublelogistic_SoS_threshold_NDPI2,8.876637038,,
-8,0.724206846,48.11073421,-3.308084817,Budburstfilterdoublelogistic_SoS_threshold_NDPI3,1.754188059,,
-15,0.724628461,50.73879461,-3.769942551,Budburstfilterdoublelogistic_SoS_threshold_NDPI4,-4.082546635,,
-21,0.724975562,53.43280923,-4.162798139,Budburstfilterdoublelogistic_SoS_threshold_NDPI5,-9.409077248,,
17,0.663856016,21.6751425,0.701345506,Budburstfilterdoublelogistic_SoS_threshold_NDVI1,2.795004385,,
10,0.660617135,22.4324393,0.758626689,Budburstfilterdoublelogistic_SoS_threshold_NDVI13,-4.307036431,,
5,0.661032363,24.32963904,0.635968198,Budburstfilterdoublelogistic_SoS_threshold_NDVI2,-9.653975207,,
-4,0.660642611,29.06000986,0.365613959,Budburstfilterdoublelogistic_SoS_threshold_NDVI3,-17.81724051,,
-10,0.659759507,33.96029088,0.123463942,Budburstfilterdoublelogistic_SoS_threshold_NDVI4,-24.51111806,,
-16,0.658401038,38.86099674,-0.099154156,Budburstfilterdoublelogistic_SoS_threshold_NDVI5,-30.4907099,,
17,0.586886079,29.81426442,0.407299192,Budburstfilterdoublelogistic_SoS_threshold_PPI1,-6.776424186,,
10,0.588066088,33.55884604,0.106455499,Budburstfilterdoublelogistic_SoS_threshold_PPI13,-14.28662827,,
5,0.587868803,37.21105609,-0.131424234,Budburstfilterdoublelogistic_SoS_threshold_PPI2,-19.96009766,,
-3,0.587459404,43.7818251,-0.513853417,Budburstfilterdoublelogistic_SoS_threshold_PPI3,-28.67438337,,
-10,0.587401119,49.70944766,-0.837149796,Budburstfilterdoublelogistic_SoS_threshold_PPI4,-35.77642419,,
-16,0.585248127,55.28034407,-1.122770875,Budburstfilterdoublelogistic_SoS_threshold_PPI5,-42.12336296,,
17,0.703563274,26.44258072,0.474253629,Budburstmintomaxdoublelogistic_SoS_threshold_NDGI1,14.16235132,,
10,0.704560484,24.45909438,0.594508231,Budburstmintomaxdoublelogistic_SoS_threshold_NDGI13,7.692963569,,
4,0.704404321,24.1121628,0.577521623,Budburstmintomaxdoublelogistic_SoS_threshold_NDGI2,2.795004385,,
-4,0.703426105,25.56938715,0.395851536,Budburstmintomaxdoublelogistic_SoS_threshold_NDGI3,-4.715199697,,
-11,0.704796785,28.34864518,0.163117318,Budburstmintomaxdoublelogistic_SoS_threshold_NDGI4,-10.83764868,,
-17,0.70418192,31.76474107,-0.062314311,Budburstmintomaxdoublelogistic_SoS_threshold_NDGI5,-16.34785276,,
21,0.671863226,23.85893016,0.598125932,Budburstmintomaxdoublelogistic_SoS_threshold_EVI1,10.01949418,,
14,0.670889861,22.42504638,0.847679584,Budburstmintomaxdoublelogistic_SoS_threshold_EVI13,3.407249283,,
9,0.668529922,22.77017134,0.932977029,Budburstmintomaxdoublelogistic_SoS_threshold_EVI2,-1.633567043,,
1,0.669662594,25.19466883,0.645589649,Budburstmintomaxdoublelogistic_SoS_threshold_EVI3,-9.245811941,,
